Substrate,Products,Kinetic Law,Modifiers,Parameters
cRelp52IkBe,IkBe,Mass Action,,k1_NFkBDeg-NFkB
cRelp52IkBd,IkBd,Mass Action,,k1_NFkBDeg-NFkB
RelAp52IkBa,IkBa,Mass Action,,k1_NFkBDeg-NFkB
RelAp52IkBb,IkBb,Mass Action,,k1_NFkBDeg-NFkB
RelAp52IkBe,IkBe,Mass Action,,k1_NFkBDeg-NFkB
RelAp52IkBd,IkBd,Mass Action,,k1_NFkBDeg-NFkB
RelAnp50nIkBan,IkBan,Mass Action,,k1_NFkBDeg-NFkB
RelAnp50nIkBbn,IkBbn,Mass Action,,k1_NFkBDeg-NFkB
RelAnp50nIkBen,IkBen,Mass Action,,k1_NFkBDeg-NFkB
RelAnp50nIkBdn,IkBdn,Mass Action,,k1_NFkBDeg-NFkB
RelBnp50nIkBan,IkBan,Mass Action,,k1_NFkBDeg-NFkB
RelBnp50nIkBbn,IkBbn,Mass Action,,k1_NFkBDeg-NFkB
RelBnp50nIkBen,IkBen,Mass Action,,k1_NFkBDeg-NFkB
RelBnp50nIkBdn,IkBdn,Mass Action,,k1_NFkBDeg-NFkB
RelBnp52nIkBan,IkBan,Mass Action,,k1_NFkBDeg-NFkB
RelBnp52nIkBbn,IkBbn,Mass Action,,k1_NFkBDeg-NFkB
RelBnp52nIkBen,IkBen,Mass Action,,k1_NFkBDeg-NFkB
RelBnp52nIkBdn,IkBdn,Mass Action,,k1_NFkBDeg-NFkB
cRelnp50nIkBan,IkBan,Mass Action,,k1_NFkBDeg-NFkB
cRelnp50nIkBbn,IkBbn,Mass Action,,k1_NFkBDeg-NFkB
cRelnp50nIkBen,IkBen,Mass Action,,k1_NFkBDeg-NFkB
cRelnp50nIkBdn,IkBdn,Mass Action,,k1_NFkBDeg-NFkB
cRelnp52nIkBan,IkBan,Mass Action,,k1_NFkBDeg-NFkB
cRelnp52nIkBbn,IkBbn,Mass Action,,k1_NFkBDeg-NFkB
cRelnp52nIkBen,IkBen,Mass Action,,k1_NFkBDeg-NFkB
cRelnp52nIkBdn,IkBdn,Mass Action,,k1_NFkBDeg-NFkB
RelAnp52nIkBan,IkBan,Mass Action,,k1_NFkBDeg-NFkB
RelAnp52nIkBbn,IkBbn,Mass Action,,k1_NFkBDeg-NFkB
RelAnp52nIkBen,IkBen,Mass Action,,k1_NFkBDeg-NFkB
RelAnp52nIkBdn,IkBdn,Mass Action,,k1_NFkBDeg-NFkB
,tIkBb,Constant Rate,,k1_tIkBb-NFkB
,tIkBa,Hill Promotion Induction IkB two,RelAnp50n RelAnp52n,kmax_IkBaSynth-NFkB k1_IkBaSynth-NFkB Kd1_IkBaSynth-NFkB k2_IkBaSynth-NFkB Kd2_IkBaSynth-NFkB kh_IkBaSynth-NFkB
,tIkBe,Hill Promotion Induction IkB four,RelAnp50n RelAnp52n cRelnp50n cRelnp52n,kmax_IkBeSynth-NFkB k1_IkBeSynth-NFkB Kd1_IkBeSynth-NFkB k2_IkBeSynth-NFkB Kd2_IkBeSynth-NFkB k3_IkBeSynth-NFkB Kd3_IkBeSynth-NFkB k4_IkBeSynth-NFkB Kd4_IkBeSynth-NFkB kh_IkBeSynth-NFkB delay_IkBeSynth-NFkB
tIkBa,,Mass Action,,k1_tIkBaDeg-NFkB
tIkBb,,Mass Action,,k1_tIkBbDeg-NFkB
tIkBe,,Mass Action,,k1_tIkBeDeg-NFkB
tIkBa,tIkBa IkBa,Mass Action,,k1_IkBTsl-NFkB
tIkBb,tIkBb IkBb,Mass Action,,k1_IkBTsl-NFkB
tIkBe,tIkBe IkBe,Mass Action,,k1_IkBTsl-NFkB
IkBd,,Mass Action,,k1_IkBddeg-NFkB
IkBa,IkBan,Mass Action,,k1_IkBanucImport-NFkB
IkBb,IkBbn,Mass Action,,k1_IkBbnucImport-NFkB
IkBe,IkBen,Mass Action,,k1_IkBenucImport-NFkB
IkBd,IkBdn,Mass Action,,k1_IkBdnucImport-NFkB
IkBan,IkBa,Mass Action,,k1_IkBannucExport-NFkB
IkBbn,IkBb,Mass Action,,k1_IkBbnnucExport-NFkB
IkBen,IkBe,Mass Action,,k1_IkBennucExport-NFkB
IkBdn,IkBd,Mass Action,,k1_IkBdnnucExport-NFkB
IkBan,,Mass Action,,k1_IkBadeg-NFkB
IkBbn,,Mass Action,,k1_IkBbdeg-NFkB
IkBen,,Mass Action,,k1_IkBedeg-NFkB
IkBdn,,Mass Action,,k1_IkBddeg-NFkB
,tRelA,Constant Rate,,k1_RelASynth-NFkB
